0	5	5	7	0.0	-0.99999	1
1	5	5	7	7.53294	-0.99999	1
2	5	5	7	0.90148	-0.99999	1
3	5	5	7	0.13505	-0.99999	1
4	5	5	7	0.05548	-0.99999	1
5	5	5	7	0.03436	-0.99999	1
6	5	5	7	0.01215	-0.99999	1
7	5	5	7	0.01156	-0.99999	1
8	5	5	7	0.00123	-0.99999	1
9	5	5	7	0.00041	-0.99999	1
10	5	5	7	0.00161	-0.99999	1
11	5	5	7	0.0002	-0.99999	1
12	5	5	7	0.00099	-0.99999	1
13	5	5	7	0.0002	-0.99999	1
14	5	5	7	0.0	-0.99999	1
0	10	5	22	0.0	-1.0	1
1	10	5	22	2.32678	-1.0	1
2	10	5	22	0.75861	-1.0	1
3	10	5	22	0.17221	-1.0	1
4	10	5	22	0.18924	-1.0	1
5	10	5	22	0.03621	-1.0	1
6	10	5	22	0.01407	-1.0	1
7	10	5	22	0.01662	-1.0	1
8	10	5	22	0.00325	-1.0	1
9	10	5	22	0.00056	-1.0	1
10	10	5	22	0.0	-1.0	1
11	10	5	22	0.0	-1.0	1
12	10	5	22	0.0	-1.0	1
13	10	5	22	0.0	-1.0	1
14	10	5	22	0.0	-1.0	1
0	50	5	68	0.0	-0.99958	1
1	50	5	68	1.06163	-0.99958	1
2	50	5	69	0.70427	-0.99958	1
3	50	5	69	0.27441	-0.99958	1
4	50	5	69	0.87376	-0.99958	1
5	50	5	69	0.09283	-0.99958	1
6	50	5	69	0.03692	-0.99958	1
7	50	5	70	0.06712	-0.99958	1
8	50	5	70	0.01851	-0.99958	1
9	50	5	70	0.00317	-0.99958	1
10	50	5	70	0.0	-0.99958	1
11	50	5	70	0.0	-0.99958	1
12	50	5	70	0.0	-0.99958	1
13	50	5	70	0.0	-0.99958	1
14	50	5	70	0.0	-0.99958	1
0	100	5	191	0.0	-0.99987	1
1	100	5	193	22.82823	-0.99987	1
2	100	5	194	0.67779	-0.99987	1
3	100	5	195	0.44288	-0.99987	1
4	100	5	196	1.13744	-0.99987	1
5	100	5	197	0.24339	-0.99987	1
6	100	5	197	0.14372	-0.99987	1
7	100	5	197	0.16274	-0.99987	1
8	100	5	197	0.07136	-0.99987	1
9	100	5	197	0.05396	-0.99987	1
10	100	5	198	0.05818	-0.99987	1
11	100	5	198	0.0284	-0.99987	1
12	100	5	198	0.00445	-0.99987	1
13	100	5	198	0.00074	-0.99987	1
14	100	5	198	0.0	-0.99987	1
0	500	5	660	0.0	-0.52144	1
1	500	5	663	0.35602	-0.52144	1
2	500	5	665	0.39468	-0.52144	1
3	500	5	668	0.34185	-0.52144	1
4	500	5	670	0.30913	-0.52144	1
5	500	5	671	0.24287	-0.52144	1
6	500	5	673	0.30004	-0.52144	1
7	500	5	675	0.22186	-0.52144	1
8	500	5	676	0.22893	-0.52144	1
9	500	5	677	0.19594	-0.52144	1
10	500	5	679	0.33532	-0.52144	1
11	500	5	681	0.21815	-0.52144	1
12	500	5	682	0.14352	-0.52144	1
13	500	5	682	0.08032	-0.52144	1
14	500	5	683	0.02383	-0.52144	1
0	1000	5	1532	0.0	-0.44896	1
1	1000	5	1537	0.25639	-0.44896	1
2	1000	5	1541	0.27771	-0.44896	1
3	1000	5	1544	0.2047	-0.44896	1
4	1000	5	1548	0.21014	-0.44896	1
5	1000	5	1554	0.45236	-0.44896	1
6	1000	5	1557	0.19034	-0.44896	1
7	1000	5	1559	0.1649	-0.44896	1
8	1000	5	1562	0.14665	-0.44896	1
9	1000	5	1564	0.14316	-0.44896	1
10	1000	5	1567	0.16621	-0.44896	1
11	1000	5	1571	0.22531	-0.44896	1
12	1000	5	1575	0.17838	-0.44896	1
13	1000	5	1578	0.17074	-0.44896	1
14	1000	5	1580	0.12796	-0.44896	1
0	2500	5	3645	0.0	-0.474	1
1	2500	5	3653	0.24597	-0.474	1
2	2500	5	3660	0.20624	-0.474	1
3	2500	5	3668	0.27442	-0.474	1
4	2500	5	3674	0.19667	-0.474	1
5	2500	5	3680	0.18161	-0.474	1
6	2500	5	3685	0.12758	-0.474	1
7	2500	5	3691	0.18205	-0.474	1
8	2500	5	3696	0.14841	-0.474	1
9	2500	5	3700	0.11305	-0.474	1
10	2500	5	3703	0.09381	-0.474	1
11	2500	5	3708	0.15018	-0.474	1
12	2500	5	3711	0.10474	-0.474	1
13	2500	5	3717	0.15973	-0.474	1
14	2500	5	3723	0.1792	-0.474	1
0	5000	5	5457	0.0	-0.73371	1
1	5000	5	5461	0.0733	-0.73371	1
2	5000	5	5465	0.07325	-0.73371	1
3	5000	5	5469	0.07319	-0.73371	1
4	5000	5	5467	-0.03657	-0.73371	1
5	5000	5	5469	0.03658	-0.73371	1
6	5000	5	5496	0.49369	-0.73371	1
7	5000	5	5498	0.03639	-0.73371	1
8	5000	5	5503	0.09094	-0.73371	1
9	5000	5	5505	0.03634	-0.73371	1
10	5000	5	5507	0.03633	-0.73371	1
11	5000	5	5509	0.03632	-0.73371	1
